x(ps)	1y
0	509
100000000000	514
200000000000	516
300000000000	481
400000000000	537
500000000000	506
600000000000	539
700000000000	451
800000000000	479
900000000000	508
1000000000000	520
1100000000000	492
1200000000000	479
1300000000000	508
1400000000000	514
1500000000000	478
1600000000000	488
1700000000000	488
1800000000000	515
1900000000000	502
2000000000000	488
2100000000000	542
2200000000000	481
2300000000000	477
2400000000000	513
2500000000000	523
2600000000000	460
2700000000000	503
2800000000000	496
2900000000000	532
3000000000000	488
3100000000000	505
3200000000000	467
3300000000000	484
3400000000000	497
3500000000000	522
3600000000000	474
3700000000000	471
3800000000000	470
3900000000000	519
4000000000000	553
4100000000000	465
4200000000000	480
4300000000000	493
4400000000000	513
4500000000000	519
4600000000000	502
4700000000000	494
4800000000000	516
4900000000000	515
5000000000000	568
5100000000000	492
5200000000000	464
5300000000000	457
5400000000000	508
5500000000000	494
5600000000000	508
5700000000000	496
5800000000000	476
5900000000000	487
6000000000000	499
6100000000000	512
6200000000000	470
6300000000000	507
6400000000000	499
6500000000000	476
6600000000000	516
6700000000000	468
6800000000000	499
6900000000000	467
7000000000000	511
7100000000000	461
7200000000000	452
7300000000000	514
7400000000000	453
7500000000000	500
7600000000000	524
7700000000000	509
7800000000000	493
7900000000000	475
8000000000000	481
8100000000000	481
8200000000000	461
8300000000000	494
8400000000000	487
8500000000000	472
8600000000000	480
8700000000000	494
8800000000000	531
8900000000000	504
9000000000000	506
9100000000000	504
9200000000000	502
9300000000000	488
9400000000000	533
9500000000000	492
9600000000000	493
9700000000000	498
9800000000000	484
9900000000000	457
