x(ps)	1y
0	244
100000000000	260
200000000000	243
300000000000	223
400000000000	262
500000000000	264
600000000000	252
700000000000	230
800000000000	247
900000000000	276
1000000000000	210
1100000000000	241
1200000000000	203
1300000000000	218
1400000000000	230
1500000000000	237
1600000000000	272
1700000000000	233
1800000000000	227
1900000000000	226
2000000000000	247
2100000000000	247
2200000000000	290
2300000000000	220
2400000000000	259
2500000000000	246
2600000000000	270
2700000000000	220
2800000000000	245
2900000000000	241
3000000000000	229
3100000000000	239
3200000000000	217
3300000000000	246
3400000000000	256
3500000000000	254
3600000000000	242
3700000000000	251
3800000000000	230
3900000000000	228
4000000000000	253
4100000000000	247
4200000000000	256
4300000000000	240
4400000000000	235
4500000000000	232
4600000000000	248
4700000000000	237
4800000000000	234
4900000000000	239
5000000000000	268
5100000000000	234
5200000000000	198
5300000000000	219
5400000000000	239
5500000000000	252
5600000000000	247
5700000000000	258
5800000000000	246
5900000000000	244
6000000000000	234
6100000000000	252
6200000000000	238
6300000000000	232
6400000000000	255
6500000000000	255
6600000000000	215
6700000000000	242
6800000000000	202
6900000000000	267
7000000000000	277
7100000000000	250
7200000000000	257
7300000000000	250
7400000000000	265
7500000000000	252
7600000000000	239
7700000000000	257
7800000000000	249
7900000000000	247
8000000000000	240
8100000000000	248
8200000000000	252
8300000000000	243
8400000000000	259
8500000000000	233
8600000000000	253
8700000000000	243
8800000000000	237
8900000000000	252
9000000000000	264
9100000000000	219
9200000000000	240
9300000000000	251
9400000000000	253
9500000000000	266
9600000000000	213
9700000000000	255
9800000000000	236
9900000000000	253
