x(ps)	1y
0	220
100000000000	239
200000000000	237
300000000000	253
400000000000	256
500000000000	192
600000000000	244
700000000000	231
800000000000	232
900000000000	234
1000000000000	224
1100000000000	232
1200000000000	215
1300000000000	214
1400000000000	232
1500000000000	210
1600000000000	237
1700000000000	232
1800000000000	234
1900000000000	226
2000000000000	234
2100000000000	222
2200000000000	234
2300000000000	230
2400000000000	207
2500000000000	236
2600000000000	238
2700000000000	234
2800000000000	270
2900000000000	242
3000000000000	229
3100000000000	238
3200000000000	234
3300000000000	222
3400000000000	233
3500000000000	227
3600000000000	236
3700000000000	228
3800000000000	251
3900000000000	240
4000000000000	242
4100000000000	233
4200000000000	250
4300000000000	227
4400000000000	234
4500000000000	218
4600000000000	248
4700000000000	247
4800000000000	230
4900000000000	246
5000000000000	243
5100000000000	237
5200000000000	233
5300000000000	255
5400000000000	259
5500000000000	208
5600000000000	249
5700000000000	223
5800000000000	261
5900000000000	213
6000000000000	224
6100000000000	237
6200000000000	255
6300000000000	209
6400000000000	223
6500000000000	233
6600000000000	233
6700000000000	216
6800000000000	260
6900000000000	262
7000000000000	216
7100000000000	232
7200000000000	234
7300000000000	227
7400000000000	259
7500000000000	232
7600000000000	223
7700000000000	230
7800000000000	227
7900000000000	247
8000000000000	235
8100000000000	250
8200000000000	264
8300000000000	221
8400000000000	246
8500000000000	234
8600000000000	248
8700000000000	235
8800000000000	236
8900000000000	235
9000000000000	263
9100000000000	232
9200000000000	236
9300000000000	250
9400000000000	229
9500000000000	230
9600000000000	281
9700000000000	243
9800000000000	224
9900000000000	202
