x(ps)	1y
0	358
100000000000	336
200000000000	356
300000000000	322
400000000000	309
500000000000	335
600000000000	346
700000000000	379
800000000000	355
900000000000	340
1000000000000	364
1100000000000	356
1200000000000	351
1300000000000	332
1400000000000	333
1500000000000	314
1600000000000	343
1700000000000	346
1800000000000	371
1900000000000	340
2000000000000	328
2100000000000	353
2200000000000	366
2300000000000	337
2400000000000	340
2500000000000	317
2600000000000	396
2700000000000	371
2800000000000	391
2900000000000	359
3000000000000	387
3100000000000	348
3200000000000	345
3300000000000	356
3400000000000	351
3500000000000	346
3600000000000	363
3700000000000	368
3800000000000	356
3900000000000	346
4000000000000	369
4100000000000	343
4200000000000	337
4300000000000	335
4400000000000	364
4500000000000	374
4600000000000	346
4700000000000	366
4800000000000	338
4900000000000	332
5000000000000	353
5100000000000	344
5200000000000	376
5300000000000	343
5400000000000	363
5500000000000	350
5600000000000	375
5700000000000	366
5800000000000	344
5900000000000	353
6000000000000	318
6100000000000	315
6200000000000	334
6300000000000	322
6400000000000	377
6500000000000	355
6600000000000	311
6700000000000	302
6800000000000	344
6900000000000	335
7000000000000	373
7100000000000	351
7200000000000	370
7300000000000	374
7400000000000	356
7500000000000	332
7600000000000	350
7700000000000	349
7800000000000	366
7900000000000	349
8000000000000	334
8100000000000	349
8200000000000	375
8300000000000	338
8400000000000	336
8500000000000	373
8600000000000	362
8700000000000	340
8800000000000	319
8900000000000	346
9000000000000	345
9100000000000	341
9200000000000	361
9300000000000	352
9400000000000	394
9500000000000	372
9600000000000	382
9700000000000	360
9800000000000	330
9900000000000	336
