x(ps)	1y
0	507
100000000000	551
200000000000	496
300000000000	496
400000000000	522
500000000000	514
600000000000	514
700000000000	552
800000000000	515
900000000000	516
1000000000000	526
1100000000000	537
1200000000000	507
1300000000000	502
1400000000000	537
1500000000000	498
1600000000000	490
1700000000000	534
1800000000000	540
1900000000000	529
2000000000000	492
2100000000000	554
2200000000000	533
2300000000000	508
2400000000000	543
2500000000000	591
2600000000000	496
2700000000000	505
2800000000000	521
2900000000000	476
3000000000000	458
3100000000000	529
3200000000000	507
3300000000000	553
3400000000000	564
3500000000000	493
3600000000000	510
3700000000000	535
3800000000000	543
3900000000000	492
4000000000000	513
4100000000000	494
4200000000000	512
4300000000000	471
4400000000000	553
4500000000000	542
4600000000000	488
4700000000000	492
4800000000000	531
4900000000000	501
5000000000000	542
5100000000000	510
5200000000000	492
5300000000000	528
5400000000000	484
5500000000000	526
5600000000000	542
5700000000000	485
5800000000000	508
5900000000000	521
6000000000000	497
6100000000000	526
6200000000000	474
6300000000000	492
6400000000000	532
6500000000000	541
6600000000000	502
6700000000000	527
6800000000000	496
6900000000000	505
7000000000000	520
7100000000000	517
7200000000000	519
7300000000000	530
7400000000000	493
7500000000000	534
7600000000000	535
7700000000000	523
7800000000000	519
7900000000000	528
8000000000000	547
8100000000000	554
8200000000000	527
8300000000000	561
8400000000000	513
8500000000000	550
8600000000000	496
8700000000000	515
8800000000000	456
8900000000000	503
9000000000000	551
9100000000000	495
9200000000000	467
9300000000000	543
9400000000000	507
9500000000000	550
9600000000000	488
9700000000000	514
9800000000000	513
9900000000000	568
