x(ps)	1y
0	508
100000000000	510
200000000000	535
300000000000	506
400000000000	527
500000000000	567
600000000000	558
700000000000	548
800000000000	528
900000000000	523
1000000000000	539
1100000000000	494
1200000000000	509
1300000000000	533
1400000000000	515
1500000000000	546
1600000000000	499
1700000000000	520
1800000000000	545
1900000000000	556
2000000000000	530
2100000000000	529
2200000000000	572
2300000000000	510
2400000000000	541
2500000000000	562
2600000000000	539
2700000000000	551
2800000000000	505
2900000000000	541
3000000000000	488
3100000000000	488
3200000000000	516
3300000000000	562
3400000000000	588
3500000000000	546
3600000000000	505
3700000000000	540
3800000000000	530
3900000000000	536
4000000000000	525
4100000000000	493
4200000000000	508
4300000000000	557
4400000000000	533
4500000000000	522
4600000000000	495
4700000000000	533
4800000000000	513
4900000000000	538
5000000000000	525
5100000000000	505
5200000000000	538
5300000000000	530
5400000000000	506
5500000000000	589
5600000000000	544
5700000000000	545
5800000000000	485
5900000000000	573
6000000000000	527
6100000000000	510
6200000000000	541
6300000000000	498
6400000000000	540
6500000000000	520
6600000000000	569
6700000000000	504
6800000000000	536
6900000000000	545
7000000000000	581
7100000000000	542
7200000000000	509
7300000000000	522
7400000000000	501
7500000000000	547
7600000000000	536
7700000000000	528
7800000000000	527
7900000000000	562
8000000000000	538
8100000000000	549
8200000000000	505
8300000000000	520
8400000000000	556
8500000000000	555
8600000000000	536
8700000000000	515
8800000000000	484
8900000000000	526
9000000000000	527
9100000000000	557
9200000000000	564
9300000000000	520
9400000000000	500
9500000000000	495
9600000000000	525
9700000000000	558
9800000000000	528
9900000000000	517
