x(ps)	2y
0	324
100000000000	353
200000000000	309
300000000000	368
400000000000	374
500000000000	340
600000000000	330
700000000000	377
800000000000	342
900000000000	328
1000000000000	317
1100000000000	326
1200000000000	350
1300000000000	326
1400000000000	318
1500000000000	319
1600000000000	338
1700000000000	323
1800000000000	330
1900000000000	302
2000000000000	334
2100000000000	336
2200000000000	330
2300000000000	321
2400000000000	347
2500000000000	327
2600000000000	346
2700000000000	350
2800000000000	313
2900000000000	344
3000000000000	346
3100000000000	323
3200000000000	330
3300000000000	372
3400000000000	362
3500000000000	341
3600000000000	344
3700000000000	359
3800000000000	341
3900000000000	342
4000000000000	356
4100000000000	322
4200000000000	343
4300000000000	341
4400000000000	372
4500000000000	337
4600000000000	345
4700000000000	318
4800000000000	323
4900000000000	347
5000000000000	324
5100000000000	342
5200000000000	330
5300000000000	304
5400000000000	336
5500000000000	373
5600000000000	315
5700000000000	336
5800000000000	307
5900000000000	314
6000000000000	342
6100000000000	331
6200000000000	314
6300000000000	352
6400000000000	330
6500000000000	347
6600000000000	317
6700000000000	325
6800000000000	317
6900000000000	330
7000000000000	332
7100000000000	321
7200000000000	335
7300000000000	327
7400000000000	319
7500000000000	336
7600000000000	325
7700000000000	343
7800000000000	317
7900000000000	364
8000000000000	323
8100000000000	318
8200000000000	348
8300000000000	338
8400000000000	324
8500000000000	331
8600000000000	334
8700000000000	326
8800000000000	307
8900000000000	321
9000000000000	310
9100000000000	328
9200000000000	326
9300000000000	342
9400000000000	338
9500000000000	362
9600000000000	361
9700000000000	330
9800000000000	310
9900000000000	318
