x(ps)	1y
0	374
100000000000	390
200000000000	415
300000000000	366
400000000000	394
500000000000	394
600000000000	361
700000000000	384
800000000000	443
900000000000	396
1000000000000	383
1100000000000	372
1200000000000	365
1300000000000	429
1400000000000	370
1500000000000	399
1600000000000	399
1700000000000	388
1800000000000	398
1900000000000	395
2000000000000	388
2100000000000	381
2200000000000	415
2300000000000	398
2400000000000	385
2500000000000	394
2600000000000	394
2700000000000	363
2800000000000	399
2900000000000	401
3000000000000	398
3100000000000	416
3200000000000	383
3300000000000	346
3400000000000	387
3500000000000	389
3600000000000	388
3700000000000	385
3800000000000	390
3900000000000	355
4000000000000	398
4100000000000	354
4200000000000	391
4300000000000	417
4400000000000	385
4500000000000	391
4600000000000	378
4700000000000	378
4800000000000	406
4900000000000	364
5000000000000	359
5100000000000	428
5200000000000	387
5300000000000	381
5400000000000	376
5500000000000	410
5600000000000	399
5700000000000	373
5800000000000	395
5900000000000	389
6000000000000	399
6100000000000	389
6200000000000	413
6300000000000	396
6400000000000	379
6500000000000	403
6600000000000	401
6700000000000	379
6800000000000	395
6900000000000	407
7000000000000	403
7100000000000	386
7200000000000	394
7300000000000	389
7400000000000	369
7500000000000	408
7600000000000	380
7700000000000	337
7800000000000	389
7900000000000	379
8000000000000	388
8100000000000	414
8200000000000	412
8300000000000	387
8400000000000	384
8500000000000	382
8600000000000	387
8700000000000	362
8800000000000	424
8900000000000	382
9000000000000	390
9100000000000	405
9200000000000	420
9300000000000	394
9400000000000	371
9500000000000	374
9600000000000	373
9700000000000	395
9800000000000	375
9900000000000	380
