x(ps)	2y
0	303
100000000000	262
200000000000	282
300000000000	306
400000000000	295
500000000000	314
600000000000	278
700000000000	298
800000000000	303
900000000000	289
1000000000000	287
1100000000000	287
1200000000000	296
1300000000000	287
1400000000000	287
1500000000000	291
1600000000000	290
1700000000000	280
1800000000000	286
1900000000000	294
2000000000000	276
2100000000000	284
2200000000000	296
2300000000000	271
2400000000000	297
2500000000000	279
2600000000000	296
2700000000000	296
2800000000000	282
2900000000000	295
3000000000000	313
3100000000000	291
3200000000000	267
3300000000000	297
3400000000000	249
3500000000000	282
3600000000000	300
3700000000000	274
3800000000000	309
3900000000000	253
4000000000000	291
4100000000000	285
4200000000000	301
4300000000000	254
4400000000000	278
4500000000000	283
4600000000000	282
4700000000000	302
4800000000000	285
4900000000000	305
5000000000000	291
5100000000000	285
5200000000000	291
5300000000000	296
5400000000000	297
5500000000000	308
5600000000000	295
5700000000000	298
5800000000000	284
5900000000000	287
6000000000000	263
6100000000000	319
6200000000000	264
6300000000000	308
6400000000000	299
6500000000000	281
6600000000000	290
6700000000000	316
6800000000000	252
6900000000000	281
7000000000000	283
7100000000000	280
7200000000000	274
7300000000000	297
7400000000000	280
7500000000000	266
7600000000000	286
7700000000000	290
7800000000000	289
7900000000000	283
8000000000000	296
8100000000000	286
8200000000000	260
8300000000000	274
8400000000000	299
8500000000000	254
8600000000000	299
8700000000000	283
8800000000000	292
8900000000000	271
9000000000000	274
9100000000000	256
9200000000000	306
9300000000000	266
9400000000000	313
9500000000000	254
9600000000000	303
9700000000000	298
9800000000000	279
9900000000000	335
