x(ps)	2y
0	225
100000000000	225
200000000000	261
300000000000	244
400000000000	235
500000000000	225
600000000000	259
700000000000	248
800000000000	232
900000000000	264
1000000000000	253
1100000000000	253
1200000000000	258
1300000000000	237
1400000000000	249
1500000000000	215
1600000000000	272
1700000000000	276
1800000000000	228
1900000000000	231
2000000000000	277
2100000000000	226
2200000000000	246
2300000000000	234
2400000000000	228
2500000000000	234
2600000000000	233
2700000000000	247
2800000000000	242
2900000000000	261
3000000000000	248
3100000000000	262
3200000000000	246
3300000000000	240
3400000000000	238
3500000000000	259
3600000000000	259
3700000000000	252
3800000000000	228
3900000000000	252
4000000000000	235
4100000000000	238
4200000000000	249
4300000000000	277
4400000000000	211
4500000000000	270
4600000000000	254
4700000000000	245
4800000000000	260
4900000000000	244
5000000000000	244
5100000000000	214
5200000000000	249
5300000000000	268
5400000000000	251
5500000000000	270
5600000000000	239
5700000000000	221
5800000000000	281
5900000000000	248
6000000000000	261
6100000000000	257
6200000000000	221
6300000000000	220
6400000000000	249
6500000000000	255
6600000000000	241
6700000000000	255
6800000000000	251
6900000000000	248
7000000000000	212
7100000000000	249
7200000000000	236
7300000000000	260
7400000000000	252
7500000000000	242
7600000000000	249
7700000000000	232
7800000000000	257
7900000000000	255
8000000000000	226
8100000000000	250
8200000000000	235
8300000000000	242
8400000000000	231
8500000000000	256
8600000000000	253
8700000000000	272
8800000000000	247
8900000000000	255
9000000000000	229
9100000000000	249
9200000000000	251
9300000000000	270
9400000000000	238
9500000000000	254
9600000000000	260
9700000000000	226
9800000000000	253
9900000000000	283
