x(ps)	2y
0	382
100000000000	397
200000000000	445
300000000000	418
400000000000	396
500000000000	417
600000000000	420
700000000000	367
800000000000	408
900000000000	411
1000000000000	395
1100000000000	412
1200000000000	392
1300000000000	432
1400000000000	396
1500000000000	387
1600000000000	418
1700000000000	394
1800000000000	392
1900000000000	421
2000000000000	400
2100000000000	401
2200000000000	390
2300000000000	404
2400000000000	388
2500000000000	415
2600000000000	399
2700000000000	386
2800000000000	416
2900000000000	401
3000000000000	386
3100000000000	395
3200000000000	385
3300000000000	434
3400000000000	412
3500000000000	443
3600000000000	384
3700000000000	428
3800000000000	442
3900000000000	410
4000000000000	410
4100000000000	430
4200000000000	422
4300000000000	433
4400000000000	427
4500000000000	414
4600000000000	450
4700000000000	376
4800000000000	405
4900000000000	411
5000000000000	400
5100000000000	403
5200000000000	398
5300000000000	434
5400000000000	428
5500000000000	405
5600000000000	385
5700000000000	377
5800000000000	407
5900000000000	420
6000000000000	408
6100000000000	379
6200000000000	416
6300000000000	380
6400000000000	423
6500000000000	440
6600000000000	428
6700000000000	413
6800000000000	389
6900000000000	408
7000000000000	423
7100000000000	388
7200000000000	370
7300000000000	406
7400000000000	431
7500000000000	412
7600000000000	385
7700000000000	407
7800000000000	369
7900000000000	426
8000000000000	456
8100000000000	423
8200000000000	421
8300000000000	400
8400000000000	401
8500000000000	398
8600000000000	380
8700000000000	411
8800000000000	389
8900000000000	428
9000000000000	388
9100000000000	417
9200000000000	380
9300000000000	384
9400000000000	425
9500000000000	407
9600000000000	387
9700000000000	406
9800000000000	427
9900000000000	433
