x(ps)	2y
0	336
100000000000	284
200000000000	312
300000000000	280
400000000000	330
500000000000	301
600000000000	298
700000000000	294
800000000000	303
900000000000	311
1000000000000	280
1100000000000	308
1200000000000	313
1300000000000	306
1400000000000	274
1500000000000	340
1600000000000	293
1700000000000	274
1800000000000	320
1900000000000	303
2000000000000	311
2100000000000	317
2200000000000	277
2300000000000	319
2400000000000	317
2500000000000	357
2600000000000	318
2700000000000	329
2800000000000	341
2900000000000	297
3000000000000	305
3100000000000	320
3200000000000	323
3300000000000	321
3400000000000	321
3500000000000	321
3600000000000	316
3700000000000	326
3800000000000	322
3900000000000	301
4000000000000	275
4100000000000	300
4200000000000	330
4300000000000	319
4400000000000	335
4500000000000	324
4600000000000	340
4700000000000	307
4800000000000	313
4900000000000	299
5000000000000	283
5100000000000	287
5200000000000	310
5300000000000	305
5400000000000	346
5500000000000	351
5600000000000	318
5700000000000	309
5800000000000	309
5900000000000	314
6000000000000	261
6100000000000	322
6200000000000	308
6300000000000	296
6400000000000	338
6500000000000	309
6600000000000	316
6700000000000	319
6800000000000	286
6900000000000	285
7000000000000	301
7100000000000	308
7200000000000	289
7300000000000	281
7400000000000	343
7500000000000	313
7600000000000	321
7700000000000	330
7800000000000	297
7900000000000	318
8000000000000	316
8100000000000	322
8200000000000	333
8300000000000	322
8400000000000	307
8500000000000	337
8600000000000	316
8700000000000	309
8800000000000	360
8900000000000	307
9000000000000	295
9100000000000	350
9200000000000	336
9300000000000	322
9400000000000	323
9500000000000	331
9600000000000	328
9700000000000	372
9800000000000	306
9900000000000	293
