x(ps)	2y
0	248
100000000000	252
200000000000	260
300000000000	244
400000000000	250
500000000000	224
600000000000	256
700000000000	254
800000000000	220
900000000000	269
1000000000000	262
1100000000000	246
1200000000000	284
1300000000000	261
1400000000000	238
1500000000000	229
1600000000000	254
1700000000000	232
1800000000000	248
1900000000000	235
2000000000000	220
2100000000000	255
2200000000000	267
2300000000000	225
2400000000000	244
2500000000000	239
2600000000000	250
2700000000000	219
2800000000000	226
2900000000000	234
3000000000000	252
3100000000000	258
3200000000000	242
3300000000000	260
3400000000000	221
3500000000000	234
3600000000000	250
3700000000000	268
3800000000000	222
3900000000000	260
4000000000000	247
4100000000000	247
4200000000000	242
4300000000000	259
4400000000000	233
4500000000000	251
4600000000000	202
4700000000000	239
4800000000000	250
4900000000000	218
5000000000000	222
5100000000000	265
5200000000000	269
5300000000000	238
5400000000000	256
5500000000000	230
5600000000000	258
5700000000000	249
5800000000000	246
5900000000000	266
6000000000000	248
6100000000000	254
6200000000000	281
6300000000000	258
6400000000000	259
6500000000000	225
6600000000000	252
6700000000000	261
6800000000000	242
6900000000000	257
7000000000000	258
7100000000000	265
7200000000000	250
7300000000000	249
7400000000000	209
7500000000000	239
7600000000000	274
7700000000000	256
7800000000000	244
7900000000000	227
8000000000000	248
8100000000000	239
8200000000000	244
8300000000000	272
8400000000000	260
8500000000000	241
8600000000000	257
8700000000000	266
8800000000000	229
8900000000000	238
9000000000000	217
9100000000000	298
9200000000000	278
9300000000000	227
9400000000000	239
9500000000000	247
9600000000000	251
9700000000000	231
9800000000000	263
9900000000000	242
