x(ps)	2y
0	229
100000000000	232
200000000000	218
300000000000	244
400000000000	242
500000000000	273
600000000000	232
700000000000	229
800000000000	241
900000000000	214
1000000000000	222
1100000000000	212
1200000000000	266
1300000000000	263
1400000000000	230
1500000000000	261
1600000000000	268
1700000000000	257
1800000000000	244
1900000000000	281
2000000000000	237
2100000000000	214
2200000000000	231
2300000000000	256
2400000000000	240
2500000000000	244
2600000000000	238
2700000000000	250
2800000000000	247
2900000000000	246
3000000000000	228
3100000000000	229
3200000000000	245
3300000000000	227
3400000000000	240
3500000000000	252
3600000000000	245
3700000000000	228
3800000000000	241
3900000000000	229
4000000000000	249
4100000000000	304
4200000000000	232
4300000000000	256
4400000000000	223
4500000000000	283
4600000000000	252
4700000000000	240
4800000000000	264
4900000000000	234
5000000000000	259
5100000000000	225
5200000000000	240
5300000000000	236
5400000000000	246
5500000000000	228
5600000000000	261
5700000000000	245
5800000000000	256
5900000000000	247
6000000000000	276
6100000000000	245
6200000000000	223
6300000000000	256
6400000000000	227
6500000000000	246
6600000000000	236
6700000000000	277
6800000000000	256
6900000000000	242
7000000000000	222
7100000000000	222
7200000000000	274
7300000000000	219
7400000000000	232
7500000000000	221
7600000000000	227
7700000000000	227
7800000000000	240
7900000000000	252
8000000000000	262
8100000000000	256
8200000000000	243
8300000000000	213
8400000000000	229
8500000000000	224
8600000000000	254
8700000000000	257
8800000000000	257
8900000000000	226
9000000000000	222
9100000000000	236
9200000000000	256
9300000000000	239
9400000000000	227
9500000000000	279
9600000000000	245
9700000000000	242
9800000000000	273
9900000000000	244
