x(ps)	2y
0	260
100000000000	280
200000000000	301
300000000000	281
400000000000	251
500000000000	284
600000000000	289
700000000000	309
800000000000	276
900000000000	265
1000000000000	283
1100000000000	293
1200000000000	267
1300000000000	291
1400000000000	299
1500000000000	289
1600000000000	277
1700000000000	257
1800000000000	281
1900000000000	269
2000000000000	274
2100000000000	276
2200000000000	279
2300000000000	271
2400000000000	279
2500000000000	281
2600000000000	273
2700000000000	276
2800000000000	295
2900000000000	261
3000000000000	277
3100000000000	271
3200000000000	267
3300000000000	282
3400000000000	285
3500000000000	274
3600000000000	316
3700000000000	280
3800000000000	260
3900000000000	278
4000000000000	283
4100000000000	270
4200000000000	245
4300000000000	264
4400000000000	281
4500000000000	291
4600000000000	268
4700000000000	269
4800000000000	267
4900000000000	272
5000000000000	284
5100000000000	274
5200000000000	301
5300000000000	276
5400000000000	238
5500000000000	289
5600000000000	303
5700000000000	287
5800000000000	257
5900000000000	270
6000000000000	297
6100000000000	273
6200000000000	274
6300000000000	304
6400000000000	280
6500000000000	295
6600000000000	267
6700000000000	279
6800000000000	287
6900000000000	306
7000000000000	297
7100000000000	246
7200000000000	278
7300000000000	251
7400000000000	254
7500000000000	279
7600000000000	272
7700000000000	287
7800000000000	272
7900000000000	284
8000000000000	263
8100000000000	283
8200000000000	258
8300000000000	272
8400000000000	275
8500000000000	295
8600000000000	282
8700000000000	279
8800000000000	296
8900000000000	310
9000000000000	292
9100000000000	253
9200000000000	268
9300000000000	280
9400000000000	317
9500000000000	277
9600000000000	264
9700000000000	266
9800000000000	280
9900000000000	265
