x(ps)	2y
0	329
100000000000	295
200000000000	298
300000000000	270
400000000000	311
500000000000	328
600000000000	292
700000000000	351
800000000000	310
900000000000	297
1000000000000	300
1100000000000	251
1200000000000	324
1300000000000	322
1400000000000	298
1500000000000	311
1600000000000	279
1700000000000	304
1800000000000	311
1900000000000	306
2000000000000	299
2100000000000	331
2200000000000	305
2300000000000	299
2400000000000	264
2500000000000	305
2600000000000	322
2700000000000	305
2800000000000	272
2900000000000	310
3000000000000	289
3100000000000	315
3200000000000	296
3300000000000	340
3400000000000	305
3500000000000	298
3600000000000	298
3700000000000	307
3800000000000	340
3900000000000	299
4000000000000	291
4100000000000	328
4200000000000	295
4300000000000	334
4400000000000	312
4500000000000	340
4600000000000	305
4700000000000	318
4800000000000	328
4900000000000	300
5000000000000	275
5100000000000	314
5200000000000	299
5300000000000	292
5400000000000	315
5500000000000	285
5600000000000	327
5700000000000	328
5800000000000	299
5900000000000	279
6000000000000	340
6100000000000	289
6200000000000	301
6300000000000	316
6400000000000	287
6500000000000	322
6600000000000	322
6700000000000	307
6800000000000	309
6900000000000	294
7000000000000	309
7100000000000	296
7200000000000	340
7300000000000	306
7400000000000	334
7500000000000	304
7600000000000	298
7700000000000	329
7800000000000	317
7900000000000	338
8000000000000	304
8100000000000	324
8200000000000	314
8300000000000	280
8400000000000	285
8500000000000	314
8600000000000	327
8700000000000	298
8800000000000	290
8900000000000	321
9000000000000	281
9100000000000	308
9200000000000	303
9300000000000	278
9400000000000	320
9500000000000	319
9600000000000	335
9700000000000	273
9800000000000	273
9900000000000	317
