x(ps)	1y
0	257
100000000000	253
200000000000	265
300000000000	247
400000000000	267
500000000000	245
600000000000	254
700000000000	257
800000000000	245
900000000000	251
1000000000000	280
1100000000000	288
1200000000000	283
1300000000000	258
1400000000000	251
1500000000000	230
1600000000000	265
1700000000000	295
1800000000000	249
1900000000000	275
2000000000000	274
2100000000000	251
2200000000000	262
2300000000000	248
2400000000000	270
2500000000000	255
2600000000000	260
2700000000000	259
2800000000000	261
2900000000000	248
3000000000000	257
3100000000000	239
3200000000000	241
3300000000000	292
3400000000000	262
3500000000000	292
3600000000000	248
3700000000000	294
3800000000000	258
3900000000000	267
4000000000000	246
4100000000000	291
4200000000000	251
4300000000000	260
4400000000000	278
4500000000000	256
4600000000000	244
4700000000000	236
4800000000000	243
4900000000000	263
5000000000000	220
5100000000000	297
5200000000000	258
5300000000000	248
5400000000000	265
5500000000000	243
5600000000000	257
5700000000000	257
5800000000000	266
5900000000000	250
6000000000000	264
6100000000000	276
6200000000000	269
6300000000000	245
6400000000000	294
6500000000000	282
6600000000000	251
6700000000000	262
6800000000000	280
6900000000000	250
7000000000000	257
7100000000000	266
7200000000000	216
7300000000000	264
7400000000000	234
7500000000000	273
7600000000000	258
7700000000000	222
7800000000000	279
7900000000000	277
8000000000000	267
8100000000000	255
8200000000000	272
8300000000000	288
8400000000000	266
8500000000000	270
8600000000000	275
8700000000000	279
8800000000000	231
8900000000000	247
9000000000000	264
9100000000000	279
9200000000000	291
9300000000000	276
9400000000000	261
9500000000000	252
9600000000000	270
9700000000000	274
9800000000000	249
9900000000000	246
