x(ps)	2y
0	378
100000000000	382
200000000000	422
300000000000	412
400000000000	408
500000000000	381
600000000000	353
700000000000	393
800000000000	394
900000000000	401
1000000000000	392
1100000000000	423
1200000000000	414
1300000000000	355
1400000000000	405
1500000000000	381
1600000000000	434
1700000000000	392
1800000000000	391
1900000000000	337
2000000000000	403
2100000000000	368
2200000000000	352
2300000000000	356
2400000000000	404
2500000000000	399
2600000000000	378
2700000000000	392
2800000000000	368
2900000000000	402
3000000000000	396
3100000000000	395
3200000000000	427
3300000000000	393
3400000000000	385
3500000000000	365
3600000000000	396
3700000000000	385
3800000000000	355
3900000000000	391
4000000000000	410
4100000000000	401
4200000000000	410
4300000000000	378
4400000000000	371
4500000000000	415
4600000000000	383
4700000000000	388
4800000000000	385
4900000000000	396
5000000000000	365
5100000000000	393
5200000000000	403
5300000000000	386
5400000000000	370
5500000000000	390
5600000000000	370
5700000000000	397
5800000000000	369
5900000000000	392
6000000000000	404
6100000000000	400
6200000000000	384
6300000000000	400
6400000000000	370
6500000000000	391
6600000000000	372
6700000000000	364
6800000000000	394
6900000000000	393
7000000000000	403
7100000000000	382
7200000000000	404
7300000000000	385
7400000000000	399
7500000000000	392
7600000000000	397
7700000000000	415
7800000000000	374
7900000000000	420
8000000000000	396
8100000000000	385
8200000000000	404
8300000000000	364
8400000000000	398
8500000000000	369
8600000000000	399
8700000000000	394
8800000000000	413
8900000000000	387
9000000000000	362
9100000000000	426
9200000000000	391
9300000000000	404
9400000000000	386
9500000000000	382
9600000000000	354
9700000000000	404
9800000000000	411
9900000000000	405
