x(ps)	1y
0	250
100000000000	274
200000000000	204
300000000000	248
400000000000	293
500000000000	265
600000000000	275
700000000000	249
800000000000	258
900000000000	253
1000000000000	283
1100000000000	231
1200000000000	272
1300000000000	247
1400000000000	263
1500000000000	251
1600000000000	263
1700000000000	228
1800000000000	286
1900000000000	269
2000000000000	229
2100000000000	239
2200000000000	256
2300000000000	269
2400000000000	251
2500000000000	267
2600000000000	261
2700000000000	268
2800000000000	250
2900000000000	281
3000000000000	247
3100000000000	252
3200000000000	266
3300000000000	243
3400000000000	234
3500000000000	258
3600000000000	248
3700000000000	240
3800000000000	277
3900000000000	247
4000000000000	265
4100000000000	242
4200000000000	243
4300000000000	257
4400000000000	273
4500000000000	272
4600000000000	248
4700000000000	210
4800000000000	252
4900000000000	256
5000000000000	250
5100000000000	249
5200000000000	237
5300000000000	284
5400000000000	244
5500000000000	247
5600000000000	251
5700000000000	288
5800000000000	263
5900000000000	266
6000000000000	251
6100000000000	264
6200000000000	226
6300000000000	251
6400000000000	238
6500000000000	253
6600000000000	236
6700000000000	250
6800000000000	267
6900000000000	211
7000000000000	272
7100000000000	233
7200000000000	245
7300000000000	266
7400000000000	275
7500000000000	276
7600000000000	265
7700000000000	286
7800000000000	248
7900000000000	253
8000000000000	280
8100000000000	234
8200000000000	285
8300000000000	231
8400000000000	240
8500000000000	279
8600000000000	274
8700000000000	272
8800000000000	248
8900000000000	250
9000000000000	243
9100000000000	261
9200000000000	292
9300000000000	262
9400000000000	251
9500000000000	238
9600000000000	258
9700000000000	256
9800000000000	288
9900000000000	245
