x(ps)	1y
0	234
100000000000	230
200000000000	261
300000000000	235
400000000000	211
500000000000	225
600000000000	222
700000000000	209
800000000000	238
900000000000	243
1000000000000	217
1100000000000	228
1200000000000	230
1300000000000	215
1400000000000	197
1500000000000	218
1600000000000	206
1700000000000	208
1800000000000	228
1900000000000	234
2000000000000	234
2100000000000	226
2200000000000	214
2300000000000	218
2400000000000	227
2500000000000	216
2600000000000	213
2700000000000	217
2800000000000	228
2900000000000	218
3000000000000	223
3100000000000	208
3200000000000	225
3300000000000	232
3400000000000	234
3500000000000	213
3600000000000	234
3700000000000	228
3800000000000	245
3900000000000	215
4000000000000	214
4100000000000	225
4200000000000	248
4300000000000	208
4400000000000	220
4500000000000	225
4600000000000	209
4700000000000	223
4800000000000	237
4900000000000	214
5000000000000	228
5100000000000	238
5200000000000	240
5300000000000	222
5400000000000	236
5500000000000	215
5600000000000	242
5700000000000	226
5800000000000	249
5900000000000	197
6000000000000	248
6100000000000	245
6200000000000	198
6300000000000	221
6400000000000	229
6500000000000	253
6600000000000	227
6700000000000	225
6800000000000	223
6900000000000	212
7000000000000	211
7100000000000	209
7200000000000	229
7300000000000	212
7400000000000	235
7500000000000	206
7600000000000	241
7700000000000	212
7800000000000	199
7900000000000	227
8000000000000	217
8100000000000	205
8200000000000	220
8300000000000	232
8400000000000	253
8500000000000	230
8600000000000	204
8700000000000	219
8800000000000	212
8900000000000	257
9000000000000	215
9100000000000	230
9200000000000	235
9300000000000	226
9400000000000	214
9500000000000	228
9600000000000	209
9700000000000	197
9800000000000	213
9900000000000	234
