x(ps)	2y
0	424
100000000000	394
200000000000	387
300000000000	419
400000000000	397
500000000000	409
600000000000	387
700000000000	424
800000000000	406
900000000000	441
1000000000000	402
1100000000000	420
1200000000000	398
1300000000000	370
1400000000000	412
1500000000000	405
1600000000000	424
1700000000000	453
1800000000000	453
1900000000000	388
2000000000000	427
2100000000000	414
2200000000000	393
2300000000000	389
2400000000000	395
2500000000000	408
2600000000000	377
2700000000000	395
2800000000000	414
2900000000000	402
3000000000000	370
3100000000000	411
3200000000000	414
3300000000000	433
3400000000000	399
3500000000000	390
3600000000000	422
3700000000000	378
3800000000000	365
3900000000000	433
4000000000000	439
4100000000000	410
4200000000000	413
4300000000000	422
4400000000000	449
4500000000000	409
4600000000000	430
4700000000000	395
4800000000000	397
4900000000000	445
5000000000000	410
5100000000000	371
5200000000000	385
5300000000000	436
5400000000000	383
5500000000000	409
5600000000000	427
5700000000000	361
5800000000000	403
5900000000000	397
6000000000000	407
6100000000000	366
6200000000000	393
6300000000000	383
6400000000000	429
6500000000000	440
6600000000000	396
6700000000000	399
6800000000000	381
6900000000000	397
7000000000000	403
7100000000000	389
7200000000000	409
7300000000000	411
7400000000000	419
7500000000000	412
7600000000000	434
7700000000000	434
7800000000000	408
7900000000000	418
8000000000000	375
8100000000000	392
8200000000000	449
8300000000000	415
8400000000000	452
8500000000000	414
8600000000000	449
8700000000000	375
8800000000000	394
8900000000000	400
9000000000000	401
9100000000000	425
9200000000000	431
9300000000000	426
9400000000000	393
9500000000000	425
9600000000000	402
9700000000000	357
9800000000000	461
9900000000000	419
